Country,Total_Death,Total_Recovered,Total_Cases,Critical
Saint-Helena,,2,2166,
Falkland-Islands,,1930,1930,
Montserrat,8,1376,1403,
Diamond-Princess,13,699,712,
Vatican-City,,29,29,
Western-Sahara,1,9,10,
MS-Zaandam,2,7,9,
China,5272,379053,503302,
Nauru,1,5347,5393,
Wallis-and-Futuna,8,438,3550,
St-Barth,6,,5507,
Tokelau,,,80,
Kiribati,24,2703,5085,3
Anguilla,12,,3904,
Saint-Pierre-Miquelon,2,2449,3452,
Tuvalu,1,,2943,
Niue,,1056,1059,
Nicaragua,225,4225,18491,
Tajikistan,125,17264,17786,
Djibouti,189,15427,15690,
Greenland,21,2761,11971,4
Eritrea,103,10086,10189,
Niger,312,8890,9931,1
Equatorial-Guinea,183,16907,17229,5
Liberia,295,7783,8090,2
Caribbean-Netherlands,38,10476,11682,
Bermuda,165,18685,18860,
Gambia,372,12189,12626,
Grenada,238,19358,19693,4
Comoros,161,8939,9109,
Guinea-Bissau,177,8929,9614,6
Chad,194,4874,7701,
Vanuatu,14,11976,12019,
Sint-Maarten,92,10905,11051,
Saint-Kitts-and-Nevis,48,6559,6607,
Marshall-Islands,17,16121,16138,
Gibraltar,113,,20550,
Saint-Martin,63,,12324,
Yemen,2159,9124,11945,
Antigua-and-Barbuda,146,8954,9106,
Monaco,67,,17181,
British-Virgin-Islands,64,,7392,
St-Vincent-Grenadines,124,9493,9674,
CAR,113,15200,15440,2
Dominica,74,15964,16038,
Cook-Islands,2,7150,7203,
Sierra-Leone,126,,7779,
Samoa,31,1605,17006,
South-Sudan,147,18115,18819,1
Tonga,13,15638,16950,
Palau,10,6276,6290,
Turks-and-Caicos,40,6709,6752,4
Liechtenstein,94,,21574,
Sao-Tome-and-Principe,80,6677,6759,
Cura&ccedil;ao,295,44720,45986,3
Isle-of-Man,116,,38008,
Cayman-Islands,37,8553,31472,1
Congo,386,24006,25375,
Somalia,1361,13182,27334,
Mayotte,188,,42027,
Bahamas,844,36366,38084,1
Fiji,885,67226,69117,
Timor-Leste,138,23102,23460,
Aruba,292,42438,44224,2
Sudan,5046,58947,63993,
Syria,3165,54578,57743,
Bhutan,21,61564,62697,
Benin,163,27847,28036,
Mauritius,1051,41278,43025,
Burundi,38,53569,54721,
Cabo-Verde,417,63755,64477,23
Papua-New-Guinea,670,46168,46864,
Andorra,165,,48015,
Faeroe-Islands,28,,34658,
Micronesia,65,,26547,
Solomon-Islands,199,,25954,
Gabon,307,48674,49051,
Guinea,468,37757,38572,
Seychelles,172,51048,51220,
Tanzania,846,,43223,
San-Marino,128,26011,26185,
Mali,743,32332,33164,
Burkina-Faso,400,21596,22109,
Guyana,1300,72013,74137,
Madagascar,1426,66862,68486,
Belize,688,,71381,
Lesotho,723,25980,36138,
Haiti,860,33734,34667,
Saint-Lucia,410,29805,30215,
Togo,290,39277,39569,
Macao,123,3487,26478,
Mauritania,997,62471,63848,
French-Guiana,420,11254,98041,6
Channel-Islands,228,101321,101717,
Uzbekistan,1637,241486,253662,23
Kyrgyzstan,2991,196406,206897,131
Suriname,1408,,82588,
Maldives,316,163687,186694,25
Rwanda,1468,132039,133518,
Kenya,5689,337309,344130,
Trinidad-and-Tobago,4390,187078,191496,
New-Caledonia,314,,80064,
Martinique,1102,,230354,
Guadeloupe,1021,,203235,
Algeria,6881,183061,272010,
Mozambique,2250,228805,233731,11
